dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1672531200,2023-01-01 00:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,284.49,,282.91,284.03,283.7,285.2,1031,,,90,4.17,46,,,,,,28,802,Clouds,scattered clouds,03n
1672534800,2023-01-01 01:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,284.35,,282.77,283.88,283.57,285.05,1031,,,90,4.69,46,,,,,,24,801,Clouds,few clouds,02n
1672538400,2023-01-01 02:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,284.12,,282.55,283.62,283.29,284.84,1031,,,90,5.14,55,,,,,,30,802,Clouds,scattered clouds,03n
1672542000,2023-01-01 03:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,283.82,,282.58,283.34,283.11,284.6,1031,,,92,5.32,65,,,,,,42,802,Clouds,scattered clouds,03n
1672545600,2023-01-01 04:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,283.44,,282.52,282.98,282.66,284.3,1031,,,94,5.22,71,,,,,,64,803,Clouds,broken clouds,04n
1672549200,2023-01-01 05:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,283.11,,282.5,280.64,282.25,284.02,1032,,,96,5.12,66,,,,,,68,803,Clouds,broken clouds,04n
1672552800,2023-01-01 06:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,282.82,,282.52,280.27,279.33,283.68,1032,,,98,5.14,59,,,,,,71,803,Clouds,broken clouds,04d
1672556400,2023-01-01 07:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,282.47,,282.32,279.76,279.83,283.37,1032,,,99,5.35,57,,,,,,79,803,Clouds,broken clouds,04d
1672560000,2023-01-01 08:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,282.59,,282.29,279.85,280.63,283.3,1032,,,98,5.51,55,,,,,,80,803,Clouds,broken clouds,04d
1672563600,2023-01-01 09:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,282.77,,282.32,280.01,281.33,283.38,1032,,,97,5.69,50,,,,,,74,803,Clouds,broken clouds,04d
1672567200,2023-01-01 10:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,283.21,,281.97,282.67,282.53,283.79,1032,,,92,5.97,49,,,,,,64,803,Clouds,broken clouds,04d
1672570800,2023-01-01 11:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,283.55,,281.82,282.97,282.98,284.15,1032,,,89,6.32,46,,,,,,42,802,Clouds,scattered clouds,03d
1672574400,2023-01-01 12:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,283.96,,281.89,283.37,283.46,284.83,1031,,,87,6.39,47,,,,,,1,800,Clear,sky is clear,01d
1672578000,2023-01-01 13:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,284.33,,281.91,283.72,283.89,284.83,1031,,,85,6.23,49,,,,,,0,800,Clear,sky is clear,01d
1672581600,2023-01-01 14:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,284.58,,281.8,283.95,283.83,284.88,1031,,,83,5.94,50,,,,,,0,800,Clear,sky is clear,01d
1672585200,2023-01-01 15:00:00 +0000 UTC,10800,Gökçeada,40.194005,25.904718,284.63,,281.85,284,282.83,284.96,1031,,,83,5.63,52,,,,,,0,800,Clear,sky is clear,01d
